thuja_C1_30;Start;;;;
psorinum_C1_30;tumor_gleich;;psora_staerker;;sykose_staerker
mercurius_C100_10000;tumor_gleich;syphilinie_staerker;;schmerzen_staerker;
rhus_toxicodendron_C1_30;tumor_gleich;syphilinie_staerker;;schmerzen_staerker;
viscum_album_C1_30;tumor_gleich;;;schmerzen_staerker;
nux_vomica_C1_30_+_sulfur_C1_30;tumor_gleich;syphilinie_staerker;psora_staerker;schmerzen_staerker;sykose_staerker
sedum_acre_C1_30;tumor_kleiner;;;;
bryonia_alba_D1_30_+_phosphor_C1_30;tumor_gleich;;psora_staerker;;
sempervivum_tectorum_C1_30;tumor_gleich;;;;
mercurius_C100_10000;tumor_gleich;;psora_staerker;schmerzen_staerker;
persicaria_C1_30;tumor_gleich;;;schmerzen_staerker;
persicaria_C1_30;tumor_kleiner;;psora_staerker;schmerzen_staerker;
syphilinum_C100_10000;tumor_gleich;;;;
mercurius_C100_10000;tumor_gleich;;;;
bovista_D1_30;tumor_gleich;;;;sykose_staerker
bovista_D1_30;tumor_gleich;;;;
bovista_C1_30;tumor_gleich;;;;
psorinum_C1_30;tumor_gleich;;;;
thuja_C1_30;tumor_gleich;;;;sykose_schwaecher
lapis_albus_C1_30;tumor_gleich;;;;
silicea_C1_30;tumor_gleich;;;;
platinum_C1_30;tumor_gleich;;;;
stannum_metallicum;tumor_gleich;;psora_staerker;;
silicea_C1_30;tumor_gleich;;;;
silicea_C1_30;tumor_gleich;;;;
syphilinum_C100_10000;tumor_gleich;;;;
lappa_major;tumor_gleich;;psora_staerker;;
ende;tumor_weg;;;;
