bovista_D1_30;Start;;
bovista_D1_30;tumor_gleich;sykose_schwaecher;
lapis_albus_C1_30;tumor_gleich;sykose_staerker;
lapis_albus_C1_30;tumor_gleich;;
psorinum_C1_30;tumor_gleich;;psora_staerker
platinum_C1_30;tumor_groesser;sykose_staerker;
psorinum_C100_10000;tumor_kleiner;;
variolinum_C1_30;tumor_gleich;sykose_staerker;
calcium_fluoratum_D1_30_+_pyrophosphat_D1_30;tumor_gleich;;
aurum_muriaticum_D1_30;tumor_gleich;sykose_staerker;psora_staerker
aurum_muriaticum_D1_30;tumor_gleich;sykose_staerker;psora_staerker
aurum_muriaticum_D1_30;tumor_gleich;;psora_staerker
aurum_muriaticum_D1_30;tumor_kleiner;;psora_schwaecher
psorinum_C1_30;tumor_gleich;sykose_staerker;
urea_C1_30;tumor_gleich;;
psorinum_C100_10000;tumor_kleiner;;
urea_C1_30;tumor_kleiner;;psora_staerker
lapis_albus_C1_30;tumor_gleich;sykose_staerker;psora_staerker
urea_C1_30;tumor_gleich;;psora_staerker
psorinum_C100_10000;tumor_gleich;sykose_staerker;psora_staerker
medorrhinum_C100_10000;tumor_groesser;;
medorrhinum_C1_30;tumor_kleiner;;psora_staerker
urea_C1_30;tumor_kleiner;sykose_schwaecher;psora_schwaecher
hekla_lava_D1_30;tumor_kleiner;;
ende;tumor_weg;;
